year,result_code,electoral_district_name,polling_division_name,party,candidate,votes,percentage,affiliation
1982,01A,Colombo,Colombo North,UNP,Junius Richard Jayewardene,29380,69.03,green
1982,01A,Colombo,Colombo North,SLFP,Hector Kobbekaduwa,10641,25.0,blue
1982,01A,Colombo,Colombo North,JVP,Rohana Wijeweera,1645,3.86,red
1982,01A,Colombo,Colombo North,LSSP,Colvin Reginald de Silva,361,0.85,red
1982,01A,Colombo,Colombo North,ACTC,Kumar Ponnambalam,477,1.12,yellow
1982,01A,Colombo,Colombo North,NSSP,Vasudeva Nanayakkara,60,0.14,red
1988,01A,Colombo,Colombo North,UNP,Ranasinghe Premadasa,22389,63.26,green
1988,01A,Colombo,Colombo North,SLFP,Sirimavo Bandaranaike,10744,30.36,blue
1988,01A,Colombo,Colombo North,SLPP,Oswin Abeygunasekara,2259,6.38,purple
1994,01A,Colombo,Colombo North,PA,Chandrika Kumaratunga,26250,61.61,blue
1994,01A,Colombo,Colombo North,UNP,Srimathi Dissanayake,15924,37.37,green
1994,01A,Colombo,Colombo North,SMBP,Harischandra Wijayatunga,118,0.28,
1994,01A,Colombo,Colombo North,Ind 1,Arthur Jayasena Ranasinghe,103,0.24,
1994,01A,Colombo,Colombo North,Ind 2,Hudson Samarasinghe,138,0.32,
1994,01A,Colombo,Colombo North,SLPF,G. A. Nihal,75,0.18,
1999,01A,Colombo,Colombo North,PA,Chandrika Kumaratunga,18114,34.07,blue
1999,01A,Colombo,Colombo North,UNP,Ranil Wickremesinghe,32714,61.53,green
1999,01A,Colombo,Colombo North,JVP,M. D. Nandana Gunathilake,1281,2.41,red
1999,01A,Colombo,Colombo North,SMBP,Harischandra Wijayatunga,115,0.22,
1999,01A,Colombo,Colombo North,LDA,Vasudeva Nanayakkara,408,0.77,
1999,01A,Colombo,Colombo North,SLMP,Abdul Rasool,163,0.31,purple
1999,01A,Colombo,Colombo North,Liberal,Rajiva Wijesinha,94,0.18,
1999,01A,Colombo,Colombo North,Ind 1,T. Edirisuriya,86,0.16,
1999,01A,Colombo,Colombo North,Ind 2,W. V. M. Ranjith,95,0.18,
1999,01A,Colombo,Colombo North,PLSF,Kamal Karunadasa,46,0.09,
1999,01A,Colombo,Colombo North,Ind 3,Hudson Samarasinghe,26,0.05,
1999,01A,Colombo,Colombo North,DUNF,A. Dissanayaka,14,0.03,
1999,01A,Colombo,Colombo North,PFF,A. W. Premawardhana,11,0.02,
2005,01A,Colombo,Colombo North,UNP,Ranil Wickremesinghe,45161,75.13,green
2005,01A,Colombo,Colombo North,UPFA,Mahinda Rajapaksa,14270,23.74,blue
2005,01A,Colombo,Colombo North,USP,Siritunga Jayasuriya,270,0.45,
2005,01A,Colombo,Colombo North,ULPP,Victor Hettigoda,101,0.17,
2005,01A,Colombo,Colombo North,JSP,A. A. Suraweera,112,0.19,
2005,01A,Colombo,Colombo North,NLF,Chamil Jayaneththi,59,0.1,
2005,01A,Colombo,Colombo North,ULF,Anura De Silva,39,0.06,
2005,01A,Colombo,Colombo North,RPP,Aruna de Soyza,17,0.03,
2005,01A,Colombo,Colombo North,SLNF,Wimal Geeganage,20,0.03,
2005,01A,Colombo,Colombo North,SEP,Wije Dias,27,0.04,
2005,01A,Colombo,Colombo North,DUA,A. K. J. Arachchige,27,0.04,
2005,01A,Colombo,Colombo North,SLPF,P. Nelson Perera,5,0.01,
2005,01A,Colombo,Colombo North,UNAF,H. S. Dharmadwaja,3,0.0,
2010,01A,Colombo,Colombo North,UPFA,Mahinda Rajapaksa,17605,28.53,blue
2010,01A,Colombo,Colombo North,NDF,Sarath Fonseka,42896,69.51,green
2010,01A,Colombo,Colombo North,SLLP,A. S. P. Liyanage,99,0.16,
2010,01A,Colombo,Colombo North,DUNF,M. C. M. Ismail,197,0.32,
2010,01A,Colombo,Colombo North,UDF,C. J. Sugathsiri Gamage,222,0.36,
2010,01A,Colombo,Colombo North,JSP,A. A. Suraweera,72,0.12,
2010,01A,Colombo,Colombo North,Ind 1,W. V. M. Ranjith,57,0.09,
2010,01A,Colombo,Colombo North,LF,Vikramabahu Karunaratne,112,0.18,
2010,01A,Colombo,Colombo North,ONF,Lal Perera,80,0.13,
2010,01A,Colombo,Colombo North,NSH,Sarath Manamendra,89,0.14,
2010,01A,Colombo,Colombo North,Ind 3,Ukkubanda Wijekoon,26,0.04,
2010,01A,Colombo,Colombo North,Ind 5,M. K. Shivajilingam,86,0.14,
2010,01A,Colombo,Colombo North,USP,Siritunga Jayasuriya,43,0.07,
2010,01A,Colombo,Colombo North,Ind 2,Aithurus Mohamed Illias,29,0.05,
2010,01A,Colombo,Colombo North,SEP,Wije Dias,32,0.05,
2010,01A,Colombo,Colombo North,JP,Baththaramulle Seelarathana Thero,9,0.01,
2010,01A,Colombo,Colombo North,NA,Sanath Pinnaduwa,12,0.02,
2010,01A,Colombo,Colombo North,Ind 4,M. Mohamed Musthaffa,10,0.02,
2010,01A,Colombo,Colombo North,UNAF,Sarath Kongahage,10,0.02,
2010,01A,Colombo,Colombo North,RPP,Aruna de Soyza,7,0.01,
2010,01A,Colombo,Colombo North,PNF,Senaratna de Silva,8,0.01,
2010,01A,Colombo,Colombo North,ACAKO,M. B. Theminimulla,14,0.02,
2015,01A,Colombo,Colombo North,I-AMI,Aithurus Mohamed Illias,59,0.09,
2015,01A,Colombo,Colombo North,UPF,Maulawi Ibrahim Mohanmed Mishlar,90,0.13,
2015,01A,Colombo,Colombo North,DNM,Prasanna Priyankara,15,0.02,
2015,01A,Colombo,Colombo North,SLNF,Wimal Geeganage,9,0.01,
2015,01A,Colombo,Colombo North,USP,Siritunga Jayasuriya,50,0.07,
2015,01A,Colombo,Colombo North,AACAAKO,M. B. Theminimulla,17,0.02,
2015,01A,Colombo,Colombo North,SEP,Pani Wijesiriwardane,29,0.04,
2015,01A,Colombo,Colombo North,FSP,Duminda Nagamuwa,39,0.06,
2015,01A,Colombo,Colombo North,SLLP,A. S. P. Liyanage,101,0.15,
2015,01A,Colombo,Colombo North,NDF,Maithripala Sirisena,51537,75.07,green
2015,01A,Colombo,Colombo North,ULPP,Ruwanthilaka Peduru Arachchi,75,0.11,
2015,01A,Colombo,Colombo North,I-AP,Anuruddha Polgampala,25,0.04,
2015,01A,Colombo,Colombo North,JSP,Baththaramulle Seelarathana Thero,10,0.01,
2015,01A,Colombo,Colombo North,NSH,Sarath Manamendra,25,0.04,
2015,01A,Colombo,Colombo North,PNF,Arachchige Rathnayaka Sirisena,61,0.09,
2015,01A,Colombo,Colombo North,UPFA,Mahinda Rajapaksa,16423,23.92,blue
2015,01A,Colombo,Colombo North,ONF,Namal Ajith Rajapaksa,48,0.07,
2015,01A,Colombo,Colombo North,NSSP,Sundaram Mahendran,28,0.04,red
2015,01A,Colombo,Colombo North,ULGC,Jayantha Kulathunga,8,0.01,
1982,01B,Colombo,Colombo Central,UNP,Junius Richard Jayewardene,68346,72.81,green
1982,01B,Colombo,Colombo Central,SLFP,Hector Kobbekaduwa,22061,23.5,blue
1982,01B,Colombo,Colombo Central,JVP,Rohana Wijeweera,2121,2.26,red
1982,01B,Colombo,Colombo Central,LSSP,Colvin Reginald de Silva,415,0.44,red
1982,01B,Colombo,Colombo Central,ACTC,Kumar Ponnambalam,810,0.86,yellow
1982,01B,Colombo,Colombo Central,NSSP,Vasudeva Nanayakkara,110,0.12,red
1988,01B,Colombo,Colombo Central,UNP,Ranasinghe Premadasa,58795,65.77,green
1988,01B,Colombo,Colombo Central,SLFP,Sirimavo Bandaranaike,26083,29.18,blue
1988,01B,Colombo,Colombo Central,SLPP,Oswin Abeygunasekara,4521,5.06,purple
1994,01B,Colombo,Colombo Central,PA,Chandrika Kumaratunga,56219,61.78,blue
1994,01B,Colombo,Colombo Central,UNP,Srimathi Dissanayake,33824,37.17,green
1994,01B,Colombo,Colombo Central,SMBP,Harischandra Wijayatunga,245,0.27,
1994,01B,Colombo,Colombo Central,Ind 1,Arthur Jayasena Ranasinghe,291,0.32,
1994,01B,Colombo,Colombo Central,Ind 2,Hudson Samarasinghe,271,0.3,
1994,01B,Colombo,Colombo Central,SLPF,G. A. Nihal,149,0.16,
1999,01B,Colombo,Colombo Central,PA,Chandrika Kumaratunga,35416,35.94,blue
1999,01B,Colombo,Colombo Central,UNP,Ranil Wickremesinghe,59234,60.11,green
1999,01B,Colombo,Colombo Central,JVP,M. D. Nandana Gunathilake,1955,1.98,red
1999,01B,Colombo,Colombo Central,SMBP,Harischandra Wijayatunga,272,0.28,
1999,01B,Colombo,Colombo Central,LDA,Vasudeva Nanayakkara,424,0.43,
1999,01B,Colombo,Colombo Central,SLMP,Abdul Rasool,630,0.64,purple
1999,01B,Colombo,Colombo Central,Liberal,Rajiva Wijesinha,137,0.14,
1999,01B,Colombo,Colombo Central,Ind 1,T. Edirisuriya,104,0.11,
1999,01B,Colombo,Colombo Central,Ind 2,W. V. M. Ranjith,178,0.18,
1999,01B,Colombo,Colombo Central,PLSF,Kamal Karunadasa,82,0.08,
1999,01B,Colombo,Colombo Central,Ind 3,Hudson Samarasinghe,53,0.05,
1999,01B,Colombo,Colombo Central,DUNF,A. Dissanayaka,26,0.03,
1999,01B,Colombo,Colombo Central,PFF,A. W. Premawardhana,24,0.02,
2005,01B,Colombo,Colombo Central,UNP,Ranil Wickremesinghe,78908,78.57,green
2005,01B,Colombo,Colombo Central,UPFA,Mahinda Rajapaksa,20395,20.31,blue
2005,01B,Colombo,Colombo Central,USP,Siritunga Jayasuriya,448,0.45,
2005,01B,Colombo,Colombo Central,ULPP,Victor Hettigoda,117,0.12,
2005,01B,Colombo,Colombo Central,JSP,A. A. Suraweera,189,0.19,
2005,01B,Colombo,Colombo Central,NLF,Chamil Jayaneththi,71,0.07,
2005,01B,Colombo,Colombo Central,ULF,Anura De Silva,93,0.09,
2005,01B,Colombo,Colombo Central,RPP,Aruna de Soyza,28,0.03,
2005,01B,Colombo,Colombo Central,SLNF,Wimal Geeganage,37,0.04,
2005,01B,Colombo,Colombo Central,SEP,Wije Dias,37,0.04,
2005,01B,Colombo,Colombo Central,DUA,A. K. J. Arachchige,69,0.07,
2005,01B,Colombo,Colombo Central,SLPF,P. Nelson Perera,20,0.02,
2005,01B,Colombo,Colombo Central,UNAF,H. S. Dharmadwaja,12,0.01,
2010,01B,Colombo,Colombo Central,UPFA,Mahinda Rajapaksa,21824,22.54,blue
2010,01B,Colombo,Colombo Central,NDF,Sarath Fonseka,73152,75.55,green
2010,01B,Colombo,Colombo Central,SLLP,A. S. P. Liyanage,170,0.18,
2010,01B,Colombo,Colombo Central,DUNF,M. C. M. Ismail,259,0.27,
2010,01B,Colombo,Colombo Central,UDF,C. J. Sugathsiri Gamage,387,0.4,
2010,01B,Colombo,Colombo Central,JSP,A. A. Suraweera,96,0.1,
2010,01B,Colombo,Colombo Central,Ind 1,W. V. M. Ranjith,67,0.07,
2010,01B,Colombo,Colombo Central,LF,Vikramabahu Karunaratne,113,0.12,
2010,01B,Colombo,Colombo Central,ONF,Lal Perera,134,0.14,
2010,01B,Colombo,Colombo Central,NSH,Sarath Manamendra,105,0.11,
2010,01B,Colombo,Colombo Central,Ind 3,Ukkubanda Wijekoon,49,0.05,
2010,01B,Colombo,Colombo Central,Ind 5,M. K. Shivajilingam,81,0.08,
2010,01B,Colombo,Colombo Central,USP,Siritunga Jayasuriya,86,0.09,
2010,01B,Colombo,Colombo Central,Ind 2,Aithurus Mohamed Illias,73,0.08,
2010,01B,Colombo,Colombo Central,SEP,Wije Dias,32,0.03,
2010,01B,Colombo,Colombo Central,JP,Baththaramulle Seelarathana Thero,23,0.02,
2010,01B,Colombo,Colombo Central,NA,Sanath Pinnaduwa,45,0.05,
2010,01B,Colombo,Colombo Central,Ind 4,M. Mohamed Musthaffa,30,0.03,
2010,01B,Colombo,Colombo Central,UNAF,Sarath Kongahage,29,0.03,
2010,01B,Colombo,Colombo Central,RPP,Aruna de Soyza,25,0.03,
2010,01B,Colombo,Colombo Central,PNF,Senaratna de Silva,23,0.02,
2010,01B,Colombo,Colombo Central,ACAKO,M. B. Theminimulla,23,0.02,
2015,01B,Colombo,Colombo Central,I-AMI,Aithurus Mohamed Illias,120,0.12,
2015,01B,Colombo,Colombo Central,UPF,Maulawi Ibrahim Mohanmed Mishlar,298,0.29,
2015,01B,Colombo,Colombo Central,DNM,Prasanna Priyankara,19,0.02,
2015,01B,Colombo,Colombo Central,SLNF,Wimal Geeganage,17,0.02,
2015,01B,Colombo,Colombo Central,USP,Siritunga Jayasuriya,69,0.07,
2015,01B,Colombo,Colombo Central,AACAAKO,M. B. Theminimulla,26,0.03,
2015,01B,Colombo,Colombo Central,SEP,Pani Wijesiriwardane,32,0.03,
2015,01B,Colombo,Colombo Central,FSP,Duminda Nagamuwa,59,0.06,
2015,01B,Colombo,Colombo Central,SLLP,A. S. P. Liyanage,185,0.18,
2015,01B,Colombo,Colombo Central,NDF,Maithripala Sirisena,82495,81.28,green
2015,01B,Colombo,Colombo Central,ULPP,Ruwanthilaka Peduru Arachchi,131,0.13,
2015,01B,Colombo,Colombo Central,I-AP,Anuruddha Polgampala,44,0.04,
2015,01B,Colombo,Colombo Central,JSP,Baththaramulle Seelarathana Thero,22,0.02,
2015,01B,Colombo,Colombo Central,NSH,Sarath Manamendra,43,0.04,
2015,01B,Colombo,Colombo Central,PNF,Arachchige Rathnayaka Sirisena,73,0.07,
2015,01B,Colombo,Colombo Central,UPFA,Mahinda Rajapaksa,17779,17.52,blue
2015,01B,Colombo,Colombo Central,ONF,Namal Ajith Rajapaksa,39,0.04,
2015,01B,Colombo,Colombo Central,NSSP,Sundaram Mahendran,25,0.02,red
2015,01B,Colombo,Colombo Central,ULGC,Jayantha Kulathunga,21,0.02,
1982,01C,Colombo,Borella,UNP,Junius Richard Jayewardene,21383,62.93,green
1982,01C,Colombo,Borella,SLFP,Hector Kobbekaduwa,10946,32.22,blue
1982,01C,Colombo,Borella,JVP,Rohana Wijeweera,1058,3.11,red
1982,01C,Colombo,Borella,LSSP,Colvin Reginald de Silva,395,1.16,red
1982,01C,Colombo,Borella,ACTC,Kumar Ponnambalam,132,0.39,yellow
1982,01C,Colombo,Borella,NSSP,Vasudeva Nanayakkara,63,0.19,red
1988,01C,Colombo,Borella,UNP,Ranasinghe Premadasa,16452,52.67,green
1988,01C,Colombo,Borella,SLFP,Sirimavo Bandaranaike,13083,41.88,blue
1988,01C,Colombo,Borella,SLPP,Oswin Abeygunasekara,1702,5.45,purple
1994,01C,Colombo,Borella,PA,Chandrika Kumaratunga,20837,60.38,blue
1994,01C,Colombo,Borella,UNP,Srimathi Dissanayake,13162,38.14,green
1994,01C,Colombo,Borella,SMBP,Harischandra Wijayatunga,236,0.68,
1994,01C,Colombo,Borella,Ind 1,Arthur Jayasena Ranasinghe,124,0.36,
1994,01C,Colombo,Borella,Ind 2,Hudson Samarasinghe,96,0.28,
1994,01C,Colombo,Borella,SLPF,G. A. Nihal,57,0.17,
1999,01C,Colombo,Borella,PA,Chandrika Kumaratunga,17023,44.55,blue
1999,01C,Colombo,Borella,UNP,Ranil Wickremesinghe,19151,50.12,green
1999,01C,Colombo,Borella,JVP,M. D. Nandana Gunathilake,1289,3.37,red
1999,01C,Colombo,Borella,SMBP,Harischandra Wijayatunga,275,0.72,
1999,01C,Colombo,Borella,LDA,Vasudeva Nanayakkara,148,0.39,
1999,01C,Colombo,Borella,SLMP,Abdul Rasool,119,0.31,purple
1999,01C,Colombo,Borella,Liberal,Rajiva Wijesinha,57,0.15,
1999,01C,Colombo,Borella,Ind 1,T. Edirisuriya,42,0.11,
1999,01C,Colombo,Borella,Ind 2,W. V. M. Ranjith,57,0.15,
1999,01C,Colombo,Borella,PLSF,Kamal Karunadasa,23,0.06,
1999,01C,Colombo,Borella,Ind 3,Hudson Samarasinghe,13,0.03,
1999,01C,Colombo,Borella,DUNF,A. Dissanayaka,5,0.01,
1999,01C,Colombo,Borella,PFF,A. W. Premawardhana,11,0.03,
2005,01C,Colombo,Borella,UNP,Ranil Wickremesinghe,25784,61.67,green
2005,01C,Colombo,Borella,UPFA,Mahinda Rajapaksa,15644,37.42,blue
2005,01C,Colombo,Borella,USP,Siritunga Jayasuriya,115,0.28,
2005,01C,Colombo,Borella,ULPP,Victor Hettigoda,80,0.19,
2005,01C,Colombo,Borella,JSP,A. A. Suraweera,60,0.14,
2005,01C,Colombo,Borella,NLF,Chamil Jayaneththi,32,0.08,
2005,01C,Colombo,Borella,ULF,Anura De Silva,22,0.05,
2005,01C,Colombo,Borella,RPP,Aruna de Soyza,18,0.04,
2005,01C,Colombo,Borella,SLNF,Wimal Geeganage,17,0.04,
2005,01C,Colombo,Borella,SEP,Wije Dias,23,0.06,
2005,01C,Colombo,Borella,DUA,A. K. J. Arachchige,10,0.02,
2005,01C,Colombo,Borella,SLPF,P. Nelson Perera,3,0.01,
2005,01C,Colombo,Borella,UNAF,H. S. Dharmadwaja,1,0.0,
2010,01C,Colombo,Borella,UPFA,Mahinda Rajapaksa,16909,41.11,blue
2010,01C,Colombo,Borella,NDF,Sarath Fonseka,23636,57.46,green
2010,01C,Colombo,Borella,SLLP,A. S. P. Liyanage,109,0.27,
2010,01C,Colombo,Borella,DUNF,M. C. M. Ismail,67,0.16,
